Санкт-Петербурге; Выборгское ш., 3/1 ;Гипермаркет О’КЕЙ «Озерки»; 8:00 - 24:00 ;+7 (812) 703-70-01 ;О'КЕЙ;Гипермаркет
Санкт-Петербурге; пр-т Просвещения, 80А корп. 2 ;Гипермаркет О’КЕЙ «Ленэкспо»; 8:00 - 24:00 ;+7 (812) 703-70-11;О'КЕЙ;Гипермаркет
Санкт-Петербурге; ул. Малая Балканская, 27 ;Гипермаркет О’КЕЙ «Балканская»; 8:00 - 24:00 ;+7 (812) 703-70-12;О'КЕЙ;Гипермаркет
Санкт-Петербурге; Индустриальный пр-т, 25 ;Гипермаркет О’КЕЙ «Индустриальный»; 8:00 - 24:00 ;+7 (812) 703-70-13;О'КЕЙ;Гипермаркет
Санкт-Петербурге; пр-т Энгельса, 154А, ТРК «Гранд-Каньон» ;Гипермаркет О’КЕЙ «Гранд-Каньон»; 10:00 - 23:00 ;+7 (812) 332-50-50;О'КЕЙ;Гипермаркет
Санкт-Петербурге; ул. Прибрежная, 13 ;Супермаркет О’КЕЙ «Рыбацкое»; 8:00 - 24:00 ;+7 (812) 449-06-28;О'КЕЙ;Супермаркет
Санкт-Петербурге; Колпино, ул. Октябрьская, 8, ТК «Ока» ;Гипермаркет О’КЕЙ «Колпино»; 9:00 - 23:00 ;+7 (812) 336-65-53;О'КЕЙ;Гипермаркет
Санкт-Петербурге; Зеленогорск, ул. Вокзальная, 7, ТК «Курортный» ;Супермаркет О’КЕЙ «Зеленогорск Вокзальная»; 9:00 - 23:00 ;+7 (812) 449-31-43;О'КЕЙ;Супермаркет
Санкт-Петербурге; Богатырский пр-т, 13А ;Гипермаркет О’КЕЙ «Богатырский»; Круглосуточно ;+7 (812) 703-70-06;О'КЕЙ;Гипермаркет
Санкт-Петербурге; Заневский пр-т, 65/1 А ;Гипермаркет О’КЕЙ «Ладожская»; 8:00 - 24:00 ;+7 (812) 703-70-05;О'КЕЙ;Гипермаркет
Санкт-Петербурге; Выборгское ш., 19/1 ;Гипермаркет О'КЕЙ «Выборгское»; Круглосуточно ;+7 (812) 703-70-10;О'КЕЙ;Гипермаркет
Ставрополе; ул. Доваторцев, 61, ОРТЦ «Ставрополь» ;Гипермаркет О’КЕЙ «Ставрополь Доваторцев»; 9:00 - 23:00 ;+7 (8652) 95-15-56;О'КЕЙ;Гипермаркет
Астрахани; Вокзальная пл., 13, ТРЦ «Ярмарка» ;Гипермаркет О’КЕЙ «Астрахань Вокзальная»; 9:00 - 23:00 ;+7 (8512) 46-42-70;О'КЕЙ;Гипермаркет
Астрахани; ул. Минусинская, 8, ТЦ «Три кота» ;Супермаркет О’КЕЙ «Астрахань Три кота»; 9:00 - 23:00 ;+7 (8512) 61-07-84;О'КЕЙ;Супермаркет
Астрахани; ул. Боевая, 25, ТРЦ «Алимпик» ;Гипермаркет О’КЕЙ «Астрахань Алимпик»; 8:00 - 23:00 ;+7 (8512) 46-43-01 ;О'КЕЙ;Гипермаркет
Москве; ул. Кировоградская, 13А, ТРЦ «Колумбус» ;Гипермаркет О'КЕЙ «Кировоградская Колумбус»; 8:00 - 24:00 ;+7 (495) 734-78-46;О'КЕЙ;Гипермаркет
Москве; Головинское ш., 5, ТЦ «Водный» ;Гипермаркет О'КЕЙ «Водный»; 8:00 - 24:00 ;+7 (495) 139-20-85;О'КЕЙ;Гипермаркет
Москве; 85 км МКАД, 1-й км Алтуфьевского ш., ТРК «Весна» ;Гипермаркет О'КЕЙ «Весна Алтуфьево»; круглосуточно ;+7 (499) 272-31-74;О'КЕЙ;Гипермаркет
Москве; Дмитровское ш., 163А, ТРЦ «РИО» ;Гипермаркет О’КЕЙ «Москва Рио»; 09:00 - 23:00 ;+7 (499) 951-17-59;О'КЕЙ;Гипермаркет
Москве; Каширское ш., 14, ТРК «ГУД ЗОН» ;Гипермаркет О’КЕЙ «ГУД ЗОН»; 9:00 - 23:00 ;+7 (499) 951-05-36;О'КЕЙ;Гипермаркет
Москве; Зеленоград, Панфиловский пр-т, 6А, ТЦ «Панфиловский» ;Супермаркет О’КЕЙ «Зеленоград Панфиловский»; 8:00 - 23:00 ;+7 (495) 212-00-76;О'КЕЙ;Супермаркет
Москве; МО, 50 км автодороги М-7 «Волга», 5 ;Гипермаркет О’КЕЙ «Ногинск Борилово»; Круглосуточно ;+7 (495) 287-96-69 ;О'КЕЙ;Гипермаркет
Москве; Мытищи, ул. Мира, 51, ТРЦ «ИЮНЬ» ;Гипермаркет О’КЕЙ «Июнь Мытищи»; 9:00 - 23:00 ;+7 (495) 221-49-70;О'КЕЙ;Гипермаркет
Москве; Варшавское шоссе, 152А, ТЦ «Сомбреро» ;Супермаркет О’КЕЙ «Варшавское Сомбреро»; 9:00 - 23:00 ;+7 (499) 272-77-92;О'КЕЙ;Супермаркет
Москве; МО, 71 км МКАД, Путилково ;Гипермаркет О’КЕЙ «Путилково»; Круглосуточно ;+7 (499) 272-54-44;О'КЕЙ;Гипермаркет
Москве; Люберцы, Новорязанское ш., 7, ТЦ «Гренада» ;Супермаркет О’КЕЙ «Люберцы Гренада»; 9:00 - 23:00 ;+7 (495) 660-68-50;О'КЕЙ;Супермаркет
Москве; Лобня, Краснополянский пр-д, 2, ТЦ «Поворот» ;Супермаркет О’КЕЙ «Лобня Краснополянский; 8:00 - 23:00 ;+7 (495) 662-14-70;О'КЕЙ;Супермаркет
Москве; ул. Веневская, 6, МФК «Витте Молл» ;Супермаркет О’КЕЙ «Веневская»; 8:00 - 23:00 ;+7 (495) 411-78-48;О'КЕЙ;Супермаркет
Москве; МО, 7 км Пятницкого ш., вл. 2, ТП «ОТРАДА» ;Гипермаркет О’КЕЙ «Пятницкое 7км»; 9:00 - 24:00 ;+7 (495) 213-17-82;О'КЕЙ;Гипермаркет
Москве; Ленинский пр-т, 101 ;Супермаркет О'КЕЙ «Москва Ленинский»; 8:00 - 23:00 ;+7 (495) 258-60-14;О'КЕЙ;Супермаркет
Москве; пр-т Мира, 211 корп. 2 , ТРЦ «Золотой Вавилон» ;Гипермаркет О'КЕЙ «Ростокино»; 08:00 до 23:00 ;+7 (495) 213-32-61;О'КЕЙ;Гипермаркет
Москве; Балаклавский пр-т, 16А ;Супермаркет О'КЕЙ «Москва Балаклавский»	; 9:00 - 23:00 ;+7 (495) 139-28-35 доб. 126;О'КЕЙ;Супермаркет
Москве; Святоозёрская улица, 1A ;Гипермаркет О’КЕЙ «Святоозерская»	; 8:00 - 24:00 ;+7 (495) 795-09-86 ;О'КЕЙ;Гипермаркет
Сочи; ул. Новая Заря, 7, ТРЦ «МореМолл» ;Гипермаркет О’КЕЙ «Сочи МореМолл»; 9:00 - 23:00 ;+7 (862) 269-59-25;О'КЕЙ;Гипермаркет
Сыктывкаре; Октябрьский пр-т, 131 стр. 3, ТРЦ «Июнь» ;Гипермаркет О’КЕЙ «Сыктывкар Октябрьский Июнь»; 9:00 - 23:00 ;+7 (8212) 409-500;О'КЕЙ;Гипермаркет
Нижнем Новгороде; Советская пл., 5 ;Гипермаркет О’КЕЙ «Нижний Новгород Советская»; 9:00 - 23:00 ;+7 (831) 202-26-46;О'КЕЙ;Гипермаркет
Нижнем Новгороде; ул. Деревообделочная, 2 ;Гипермаркет О'КЕЙ «Нижний Новгород Деревообделочная»; 8:00 - 23:00 ;+7 (831) 202-25-00;О'КЕЙ;Гипермаркет
Нижнем Новгороде; пр-т Ленина, 113 ;Гипермаркет О’КЕЙ «Нижний Новгород Цех тары»; 8:00 - 24:00 ;+7 (831) 275-85-75;О'КЕЙ;Гипермаркет
Сургуте; Нефтеюганское ш., 1, ТРЦ «Аура» ;Гипермаркет О’КЕЙ «Сургут Нефтеюганское Аура»; 9:00 - 24:00 ;+7 (3462) 27-04-00;О'КЕЙ;Гипермаркет
Сургуте; Югорский тракт, 38, ТРЦ «Сургут Сити Молл» ;Гипермаркет О’КЕЙ «Сургут Сити Молл»; 9:00 - 23:00 ;+7 (3462) 27-03-50;О'КЕЙ;Гипермаркет
Оренбурге; ул. Салмышская, 71, ТРЦ «КИТ» ;Гипермаркет О'КЕЙ «Оренбург Салмышская»; 9:00 - 23:00 ;+7 (3532) 54-12-99;О'КЕЙ;Гипермаркет
Уфе; ул. Энтузиастов, 18, ТРЦ «Планета» ;Гипермаркет О’КЕЙ «Уфа Планета»; 9:00 - 23:00 ;+7 (347) 226-95-50;О'КЕЙ;Гипермаркет
Уфе; ул. Комсомольская, 112, ТРЦ «Июнь» ;Гипермаркет О’КЕЙ «Уфа Июнь»; 9:00 - 23:00 ;+7 (347) 226-07-27;О'КЕЙ;Гипермаркет
Уфе; ул. Маршала Жукова, 37 ;Гипермаркет О’КЕЙ «Уфа Жукова»; 9:00 - 23:00 ;+7 (347) 292-65-65;О'КЕЙ;Гипермаркет
Красноярске; Сибирский пер., 5А ;Гипермаркет О’КЕЙ «Красноярск Сибирский»; 9:00 - 23:00 ;+7 (391) 202-68-06;О'КЕЙ;Гипермаркет
Красноярске; ул. 9 Мая, 77, ТРЦ «Планета» ;Гипермаркет О’КЕЙ «Красноярск Планета» ; 9:00 - 23:00 ;+7 (391) 278-85-35;О'КЕЙ;Гипермаркет
Липецке; ул. Петра Смородина, 13А, ТРЦ «Армада» ;Супермаркет О'КЕЙ «Липецк Петра Смородина»; 9:00 - 23:00 ;+7 (4742) 90-84-02;О'КЕЙ;Супермаркет
Липецке; ул. Советская, 66 ;Гипермаркет О'КЕЙ «Липецк Европа»; 9:00 - 23:00 ;+7 (4742) 90-89-88;О'КЕЙ;Гипермаркет
Тольятти; ул. Спортивная, 4В, ТЦ «Малина» ;Супермаркет О’КЕЙ «Тольятти Спортивная Малина»; 9:00 - 23:00 ;+7 (8482) 94-01-10;О'КЕЙ;Супермаркет
Тольятти; ул. Борковская, 81А ;Гипермаркет О’КЕЙ «Тольятти Борковская»; 9:00 - 23:00 ;+7 (8482) 53-59-99 ;О'КЕЙ;Гипермаркет
Саратове; ул. Танкистов, 3, ТК «Форум» ;Супермаркет О’КЕЙ «Саратов Танкистов»; 9:00 - 23:00 ;+7 (8452) 66-93-56;О'КЕЙ;Супермаркет
Саратове; Вольский тракт, 2, ТРК «Хэппи Молл» ;Гипермаркет О’КЕЙ «Саратов Хэппи Молл»; 9:00 - 23:00 ;+7 (8452) 66-93-67;О'КЕЙ;Гипермаркет
Омске; ул. 70 лет Октября, 7 ;Супермаркет О'КЕЙ «Омск 70 лет Октября»; 9:00 - 23.00 ;+7 (3812) 35-62-16;О'КЕЙ;Супермаркет
Омске; ул. Энтузиастов, 2 корп. 1 ;Гипермаркет О’КЕЙ «Омск Энтузиастов»; 9:00 - 23:00 ;+7 (3812) 29-28-10;О'КЕЙ;Гипермаркет
Краснодаре; Крылатая ул., 2, ТРК «Oz Mall» ;Гипермаркет О’КЕЙ «Краснодар Oz»; 9:00 - 23:00 ;+7 (861) 210-50-60 ;О'КЕЙ;Гипермаркет
Краснодаре; ул. Атарбекова, 1/1, МФК «Босс Хауз» ;Супермаркет О’КЕЙ «Краснодар Босс Хауз»; 9:00 - 23:00 ;+7 (861) 210-59-24;О'КЕЙ;Супермаркет
Краснодаре; ул. Стасова, 178, ТРК «Галактика» ;Гипермаркет О’КЕЙ «Краснодар Галактика»; 9:00 - 23:00 ;+7 (861) 210-24-60;О'КЕЙ;Гипермаркет
Краснодаре; ул. Мачуги, 2 ;Гипермаркет О’КЕЙ «Краснодар Мачуги»; 8:00 - 24:00 ;+7 (861) 273-97-50;О'КЕЙ;Гипермаркет
Краснодаре; ул. Минская, 120 корп. 8 ;Гипермаркет О’КЕЙ «Краснодар Минская»; 8:00 - 24:00 ;+7 (861) 273-97-01;О'КЕЙ;Гипермаркет
