Барнаул;Власихинская ул., д. 67;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Барнаул;Ленина пр., д. 102в;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Барнаул;Павловский тракт, д. 156;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Белгород;Победы ул., д. 83б;;;;Лента;Гипермаркет
Белгород;Щорса ул., д. 43а;;;;Лента;Гипермаркет
Брянск;Объездная ул., д. 30;;;;Лента;Гипермаркет
Великий Новгород;Великая ул., д. 22а;;;;Лента;Гипермаркет
Великий Новгород;Псковская ул., д. 33;;;;Лента;Гипермаркет
Владимир;Московское ш., д. 2;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Волгоград;Космонавтов ул., д. 30;;;;Лента;Гипермаркет
Волгоград;Пролетарская ул., д. 8;;;;Лента;Гипермаркет
Волгоград;Университетский пр., д. 105;;;;Лента;Гипермаркет
Волгоград;Университетский пр., д. 2;;;;Лента;Гипермаркет
Волжский;Ленина пр., д. 313;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Вологда;Окружное ш., д. 35;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Воронеж;Домостроителей ул., д. 24;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Воронеж;Московский пр., д. 129/1;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Грозный;Ханкальская ул., д. 151;;;;Лента;Гипермаркет
Димитровград;Свирская ул., д. 45;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Екатеринбург;Академика Сахарова ул., д. 107/1;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Екатеринбург;Сибирский тракт (дублёр), д. 19/1;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Елино;Ленинградское ш., cтр. 20/2;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Иваново;Карла Маркса ул., д. 3, кор. А;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Иваново;Лежневская ул., д. 164;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Иваново;Строителей пр., д. 25;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Ижевск;ул. Камбарская, д. 110;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Иркутск;Октябрьской Революции ул., д. 1;;;;Лента;Гипермаркет
Иркутск;Сергеева ул., д. 3/5 ;;;;Лента;Гипермаркет
Истра;Московская ул., д. 61;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Казань;Рихарда Зорге ул., д. 11 Б;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Калуга;Грабцевское ш., д. 59;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Калуга;65 Лет Победы ул., д. 27А;;;;Лента;Супермаркет
Калуга;Маркса пр., д. 114 (Обнинск);;;;Лента;Супермаркет
Калуга;Парижской Коммуны ул., д. 51 (Малоярославец);;;;Лента;Супермаркет
Кемерово;Баумана ул., д. 20;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Кемерово;Кузнецкий пр., д. 33;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
