г. Москва;" Ходынский бульвар, д.4, ТЦ ""Авиапарк"", 4й этаж.";"от метро Динамо и Полежаевская  бесплатные автобусы до ТЦ ""Авиапарк"" ";Режим работы: вс-чт 10:00-22:00, пт-сб 10:00-23:00;Телефон: 8 (499) 429-01-59;Дочкисыночки;
г. Москва; Юрловский проезд, д. 13;"М. Отрадное:
автобусы: 71, 98, 124, 603, 605, 880. 
Маршрутные такси: 88, 605 до остановки ""Северный бульвар"". 

От станции ""Лосиноостровская"": 
автобусы: 71, 124, 880. Маршрутное такси № 88 до ост. ""Северный бульвар"".
";Режим работы: 10:00-21:00;Телефон: (499) 203-54-45/54 , (499) 203-32-72;Дочкисыночки;
г. Ставрополь;" ул. Тухачевского, д. 14/2, ТРЦ ""Москва"",2 этаж";"Из центра: автобус №№ 32А,46,48; маршрутные такси №№: 3,21,29,32,33,45,46,
Из Северо-Западного р-на: автобус №20, маршрутные такси №№:2,12,35
От автовокзала (центр) маршрутное такси 33 в сторону Юго-Запада
От автостации Юго-Запад : автобус №20, маршрутное такси № 21,35 в сторону Юго-запада
От Автостанции Северо-Запад: маршрутное такси № 2,35 в сторону Юго-запада
От рынков Нижний и Верхний:маршрутное такси № 29,3 в сторону Юго-Запада
Это все маршруты, которые идут непосредственно к ТЦ Москва (остановка рынок Тухачевский). Но транспорта намного больше.";Режим работы: 10:00-22:00;Телефон: (8652) 23-07-25/26;Дочкисыночки;
г.Москва; ул.Волгоградский проспект, д.125, ТЦ Мираж, этаж 3;ст.м.Кузьминки, ТЦ Мираж, этаж 3;Режим работы: 10:00 - 21:00;Телефон: 8(495)780-39-96;Дочкисыночки;
г.Москва; ул.Керченская, д.8;"от ст.метро Каховская  60 и 72 троллейбусы, 826 и 57 автобусы, 457 маршрутное такси до остановки Керченская улица. Далее пройти 200 метров. Мы напротив магазина ""Пятерочка""";Режим работы: 10:00 - 21:00;Телефон: 8-499-122-93-11;Дочкисыночки;
г. Архангельск;" ул. Гайдара, д. 52, ТРЦ ""Сафари"", 3 эт.";"Автобусные маршруты: 54, 11, 6 до остановки магазин ""Диета"". Автобусные маршруты: 5Э, 75, 65 до остановки ""ул.Гайдара""";Режим работы: 10:00-21:00;Телефон: 8 (8182) 63-60-21, 8 (8182) 63-60-22;Дочкисыночки;
"г. Астрахань ул. Минусинская д.8 ТРЦ "" Три Кота""";;"г. Астрахань ул. Минусинская д. 8 ТРЦ ""Три Кота""
Маршрутное такси № 30; 43; 45;47 ост. ТРЦ ""ТриКота""
Одноэтажное здание";Режим работы: 9:00-21:00;Телефон: 8 (8512) 207-200, 8 (8512) 207-201;Дочкисыночки;
г. Астрахань; ул. Звездная, д.17;"Микрорайон ""Юго-Восток-2"" 
Маршрутное такси: № 73, 69, 55, 25.
Автобус: № 25. 
Троллейбус: № 2.  
Остановка по требованию «ТЦ Звездный»/магазин «Дочки и сыночки».   
Маршрутное такси: № 9, 27, 21, 7, 35.  
Остановка ""Пр-д Воробьева"" или ""ТРЦ 'Гранд Ривер'"", пешком 2 -3 мин.
Открыт отдел ""Женские штучки!""";Режим работы: 09:00-21:00;Телефон: 8 (8512) 49-53-00, 8 (8512) 49-53-03;Дочкисыночки;
г. Балашиха;" ул. Советская, д. 10а, ТЦ ""Пирамида""";"От ст. метро Новогиреево
маршрутное такси 110 до ост. ""Площадь Славы"" , далее пешком 300 м., ориентир кинотеатр ""Люксор"".
Маршрутные такси 193,108. до остановки ""ул. Крупской"", далее 100 м. пешком вдоль торговых рядов, павильоны 7,8.
От ст. метро Щелковская
маршрутные такси 338,396 до остановки ""ул. Крупской"",  ориентир магазин ""Магнит"", далее 100 м. пешком вдоль торговых рядов, павильон 7,8.
";Режим работы: 10:00-21:00;Телефон: 8 (495) 660-23-74;Дочкисыночки;
г. Барнаул;" ул. Георгия Исакова, 260, ТЦ ""БУМ"", 2 этаж";"ост. Восьмая детская поликлинника (район Докучаево) Марш.такси: 27,45,46,144,51,80  Автобусы: 53,60,137,149  Трамвай: 8,9,10,2  ТЦ ""БУМ"" (Холлидей на Докучаево), центральный вход, второй этаж.";Режим работы: 10:00-21:00;Телефон: 8 (3852) 20-22-25;Дочкисыночки;
г. Белгород;" п. Дубовое, ул. Щорса, д. 64, МТРК ""Сити Молл""";Маршрутные такси: 111,111с,145,120,43;Режим работы: с 10:00 до 22:00;Телефон: 8 (4722)28-91-50/28-76-24;Дочкисыночки;
г. Благовещенск; ул. 50 лет Октября, д. 42/1, 3 этаж ;"ост. ""Автовокзал"", маршруты № 36,44,9,4,12,25,39,30,33,2К,31,24, ТЦ ""Ледяной""";Режим работы: 10:00-20:00;Телефон: 8 (4162) 77-15-61, 8 (4162) 77-15-62;Дочкисыночки;
г. Владимир;" ул. Тракторная, д. 45 ТК ""Мегаторг""";;Режим работы: 10-00:22-00;Телефон: 8 (4922) 472-178, 8 (4922) 472-181;Дочкисыночки;
г. Волгоград;" ул. Рабоче-Крестьянская д. 9 ТК"" Киндер Молл "", цокольный этаж";"На скоростном трамвае «СТ2». Станция «Профсоюзная» находится в непосредственной близости от торгового комплекса.
Также можно добраться другим наземным транспортом, идущим по Рабоче-Крестьянской улице до остановки «Торговый центр».";Режим работы: 10:00-21:00;Телефон: 8 (8442) 78-13-21, 8 (8442) 78-13-22;Дочкисыночки;
г. Волжский;" бульвар Профсоюзов, д.1Б, ТРК ""ПЛАНЕТАЛЕТО""";"Маршрутные такси:5, 5а, 6, 6а, 24, 24а, 11, 3,17, 160, 123, 105а, 1. 
Автобусы: 1, 24 до остановки ""ТРК Планеталето"". ";Режим работы: с 10:00 до 21:00;Телефон: 8(8443) 21-07-78/79;Дочкисыночки;
г. Воронеж;" бульвар Победы, д. 23 б, ТЦ ""Арена"", 3 этаж ";"Автобус №: 1К, 42, 71, 75А, 7А, 5А, 15, 27, 37, 37А, 40, 41, 54, 59А остановка ""Гипермаркет Линия"".
Автобус №: 29, 3В, 47, 58В, 59А, 79, 90, 108, 125 остановка ""Институт искусств"".
";Режим работы: 10:00 - 22:00;Телефон: (7473)257-41-11, (7473)257-41-00;Дочкисыночки;
г. Воронеж; Ленинский проспект, д.174П, 3 этаж;"Маршрутные такси: 10А,11,88, 47, 79,52, 91,122, 90 до остановки ТЦ ""Максимир"".
";Режим работы: с 10:00 до 22:00;Телефон: 8 (473) 262-98-53/63;Дочкисыночки;
г. Дубна; пр-т Боголюбова, д.14, 3 этаж;"Автобусы: 2,5,6,7,11,110. Маршрутные такси: 12,9 до остановки "" ТЦ Перекресток""";Режим работы: 9:00-21:00;Телефон: 8 (499) 579-88-50/45;Дочкисыночки;
г. Екатеринбург; ул. Блюхера, д. 39, 3 этаж;"Трамвай: А,4,16,18,20,22,23,26,32. Автобус: 28,60. Маршрутное такси 034 до остановки ""Блюхера"", ТЦ ""АИДА"".";Режим работы: 10:00-22:00;Телефон: 8 (343) 385-09-53, 8 (343) 385-09-54;Дочкисыночки;
г. Екатеринбург;" ул. Ясная, д.2, ТЦ ""ФанФан"", 3 этаж. ";"На автобусе маршрут 18, маршрутном такси 022 - выйти на остановке ""Дворец Спорта"", пройти налево два пешеходных перехода. На трамвае 32,33 - выйти на остановке ""Дворец Спорта"", пройти также налево, но 3 пешеходных перехода. Также можно не доезжая на трамвае до остановки ""Дворец Спорта"", выйти на остановке "" Посадская"" , пройти налево до улицы Большакова, повернуть направо, пройти 2 пешеходных перехода. На автобусе 18, маршрутном такси 022 и 041 - выйти на остановке ""ТРЦ Фан-Фан"", пройти налево два пешеходных перехода.
";Режим работы: 10:00-22:00;Телефон: 8 (343) 344-01-99, 8 (343) 344-01-88 ;Дочкисыночки;
г. Железнодорожный;" ул. Советская, д.9, ТЦ "" Эдельвейс"", 4 этаж";"М.Выхино  1-й вагон из центра, выход на улицу направо, далее перейти по пешеходному переходу на противоположную сторону. Маршрутное такси (желтого цвета) № 100, до конечной остановки ""ст. Железнодорожная"".";Режим работы: 10:00-21:00;Телефон: 8 (495) 983-05-86/95;Дочкисыночки;
г. Иваново; ул. Куконковых, д.141, 1 этаж;"Остановка ""Камвольный комбинат"". Троллейбусы: 10, 6, 2,8.  Автобусы: 100, 40, 120, 110, 14, 131, 116, 23, 10,33. Маршрутные такси: 100, 35, 131, 30, 31,37, 43, 10, 135.";Режим работы: 10:00-22:00;Телефон: 8 (4932) 92-00-66, 8 (4932) 92-00-67;Дочкисыночки;
