"ТРК ""Фестиваль"" 3 этаж. Озёрск";г Озерск, ул Дзержинского, 35а, Фестиваль 3 этаж. (любой вход 2 этаж по эскалатору направо ) ;;пн-вс 10:00-21:00;;Кари
"ТРЦ ""РИО"" Кострома";г Кострома, ул Магистральная, 20, РИО (центральный вход 1 этаж ,от входо налево ) ;;пн-вс 10:00-22:00;;Кари
 Чехов;г Чехов, ул Московская, 96, Карнавал (напротив панорамного лифта);ТРЦ Карнавал,  Московская ул,  96;пн-вс 10:00-22:00;;Кари
 Минск;Минск, Налибокская, д. 1-1, Караван;ТЦ Караван;пн-вс 10:00-22:00;;Кари
Могилёв;Могилёв, Минское шоссе, 31, Парк;ТЦ Парк;пн-ср 10:00-22:00, чт 10:00-21:00, пт-вс 10:00-22:00;;Кари
 Канск;г Канск, ул 40 лет Октября, 62/4, Порт Артур 2 (вход в гипермаркет Аллея 1 этаж ,напротив гипермаркета Аллея ) ;ТЦ Порт Артур 2;пн-вс 10:00-21:00;;Кари
ТЦ Столичный Кызыл;г Кызыл, ул Дружбы, 140А, Столичный (цокальный этаж рядом Глория Джинс вход с ул.дружбы ) ;;пн-вс 10:00-20:00;;Кари
 Пермь;г Пермь, ул Героев Хасана, 105, Шоколад (центральный вход 1 этаж , по центру от фудкорта ) ;ТЦ Шоколад;пн-вс 10:00-21:00;;Кари
 Усть-Кут;г Усть-Кут, ул Кирова, 88 (центральный вход , 2 этаж по лестнице, по центру ) ;ТЦ;пн-вс 10:00-20:00;;Кари
 Ленинск-Кузнецкий;г Ленинск-Кузнецкий, ул Телефонная, 13, Фабрика (центральный вход 1 этаж ,прямо и на лево ) ;Фабрика;пн-вс 10:00-20:00;;Кари
 Тюмень;г Тюмень, ул Валерии Гнаровской, 12, Фаворит (центральный вход ,3 этаж на лифте ,на лево ) ;Фаворит;пн-вс 10:00-22:00;;Кари
 Вологда;г Вологда, ул Ленинградская, 100, Форум (центральный вход ,3 этаж по эскалатору ,с эскалатора направо ) ;Форум;пн-вс 10:00-21:00;;Кари
Хабаровск;"г Хабаровск, ул Краснореченская, 46 (с ул.краснореченская,остановка ""заводская"", 2 этаж, через банк по лестн ) ";;пн-вс 10:00-20:00;;Кари
 Воронеж;г Воронеж, ул Кольцовская, 35А, Галерея Чижова (центральный вход , 3 этаж на лифте , вход сразу по центу ) ;Центр Галереи Чижова;пн-вс 10:00-22:00;;Кари
 Большой Камень;г Большой Камень, ул Приморского Комсомола, 2, а, Центральный рынок (вход со стороны хлебозавода, цокольный этаж, прямо ) ;Центральный;пн-вс 10:00-20:00;;Кари
 Пенза;г Пенза, ул Кирова, 73/23, а, Цум (центральная галерея, с ул. Кирова по к эскалатору на 3 этаж, рядом Центробувь, Г);ЦУМ;пн-вс 09:00-21:00;;Кари
 Иркутск;г Иркутск, мкр Юбилейный, 19/1, Юбилейный (цокольный этаж, от эскалатора налево ) ;Юбилейный;пн-вс 10:00-22:00;;Кари
Южная Галлерея Симферополь;г Симферополь, ул Киевская, 189, Южная Галлерея (Вход со стороны ул. Киевской ,1 этаж по центру ) ;;пн-вс 10:00-22:00;;Кари
