г. Чебоксары;пр-т И. Яковлева, д 4Б, ТЦ «МТВ Центр», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Саратов;Вольский тракт, д. 2, ТЦ «Happy Молл», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Республика Казахстан, г. Астана;ул. Шокана Валиханова, 24, ТК «Тулпар», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Флагман
г. Астрахань;Вокзальная пл., д. 13а, ТЦ «Ярмарка», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Калуга;ул. Московская, д. 338 А, ТЦ «Торговый квартал», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Самара;пр-т Кирова, д.147, ТРК «Вива Лэнд», 3 этаж;;Ежедневно с 10:00 до 22:00;;Детский мир;Супермаркет
г. Екатеринбург;ул. Сулимова, д. 50, Молл «Парк Хаус», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Москва;м. Выхино, ул. Вешняковская, д. 22, ТЦ «Вешняковский пассаж», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Самара;п. Красный Пахарь, Московское шоссе, 24 км трассы, д. 5 СТЦ «МЕГА», 1 этаж;;Ежедневно с 10:00 до 22:00;;Детский мир;Супермаркет
г. Санкт;-Петербург, м. Московская, ул. Типанова, д.27/39, ТЦ «Космос», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Санкт;-Петербург, м. Пионерская, Коломяжский пр., д. 17А, корп 2А, ТЦ «Сити Молл», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Саратовская обл., г. Балаково;ул. Волжская, д. 100/1, ТЦ «Оранж», 3 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Супермаркет
г. Волгоград;ул. Землячки, д. 110 Б, ТРК «КомсоМолл», 0 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Саранск;ул. Гагарина, д. 99а, ТРЦ «MAX», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Уфа;ул. Рубежная, д. 174, МЕГА, 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Санкт;-Петербург, м. Бухарестская, ул. Фучика, д.2, ТЦ «РИО», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Ульяновск;Московское шоссе, д. 108, ТРЦ «Аква Маll», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Ярославль;Тутаевское шоссе, д.1, ТЦ «РИО Гранд», 1 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Супермаркет
г. Санкт;-Петербург, м. Приморская, В.О.Малый проспект, д. 88, ТЦ «Шкиперский Молл», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Московская обл., г. Серпухов;Борисовское шоссе, д. 1, ГТРК «Корстон», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
;Московская область, пос. с-за им. Ленина, 24-й км МКАД вл.1 ТРК VEGAS, 3 этаж;;"понедельник - пятница: 10.00 - 23.00; суббота, воскресенье, праздничные дни: 10.00 - 24.00.";;Детский мир;Супермаркет
г. Чебоксары;Президентский бульвар, д. 20, ТЦ «Каскад», 4 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Рязань;Московское шоссе, д. 21, ТРЦ «Премьер», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Оренбургская обл., г. Орск;пр-т Ленина, д. 25, ТЦ «Ринг Плаза», 3 этаж;;Ежедневно с 10:00 до 22:00;;Детский мир;Супермаркет
Республика Казахстан, г. Алматы;пр-т Райымбека, западное направление, ТРЦ «Апорт», 1 этаж;;"Понедельник-четверг, воскресенье: 10:00 - 22:00; пятница и суббота: 10:00 - 23:00.";;Детский мир;Супермаркет
г. Краснодар;ул. Крылатая, д. 2, ТЦ «OZ Mall», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Республика Казахстан, г. Караганда;пр-т Бухар Жырау, д. 59/2, ТРЦ «Сити Молл», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Вологда;Пошехонское шоссе, д. 22, ТРЦ «Мармелад», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Барнаул;Красноармейский пр-т, д. 58, ТЦ «Первомайский», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
Ставропольский край, г. Пятигорск;ул. Объездная, д. 45а, ТЦ «Спортмастер», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Республика Казахстан, г. Шымкент;ш. Тамерлановское шоссе, д. 19, ТЦ «Аль-Фараби», 1 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Флагман
г. Брянск;ул. Красноармейская, д. 100, ТЦ «Мельница», -1 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Супермаркет
г. Ухта;ул. Строительная, д. 2а, ТЦ «Ярмарка», 1 этаж;;Ежедневно с 10:00 до 21:00;;Детский мир;Супермаркет
ХМАО, г. Сургут;Нефтеюганское шоссе, д. 1, ТЦ «Аура», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Московская обл., г. Химки;ул.Московская, д. 14А, ТЦ «Citrus», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Москва;м. Сходненская, ул. Сходненская, д.56, ТЦ «Калейдоскоп», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Тюмень;ул. 2-я Луговая, д. 30, ТРЦ «Па-На-Ма», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
Ростовская обл.,г. Таганрог;ул. Дзержинского, д. 165Б, ТЦ «Москва», 3 и 4 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
ХМАО, г. Нягань;ул. Ленина, д. 28, ТЦ «Оазис Плаза», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Челябинск;ул. Дарвина, д. 18, ТК «Кольцо», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Северодвинск;пр-т Морской, д. 70, ТЦ «Сити», 1 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Сочи;ул.Новая заря, д. 7, ТРЦ «МореМолл», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Ижевск;ул. Удмуртская, д. 255 Б, ТЦ «Флагман», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Республика Казахстан, г. Алматы;пр. Суюнбая, д. 2, ТЦ «Green», 1 этаж;;Ежедневно с 9:00 до 22:00.;;Детский мир;Супермаркет
г. Екатеринбург;ул. Амундсена, д. 63, ТРЦ «Гранат», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
