Город;Адрес;Комментарий;График работы;Телефон;Магазин;Формат
Санкт-Петербурге; ул. Малая Балканская, 27 ;Гипермаркет О’КЕЙ «Балканская»; 8:00 - 24:00 ;+7 (812) 703-70-12;О'КЕЙ;Гипермаркет
Санкт-Петербурге; Индустриальный пр-т, 25 ;Гипермаркет О’КЕЙ «Индустриальный»; 8:00 - 24:00 ;+7 (812) 703-70-13;О'КЕЙ;Гипермаркет
Санкт-Петербурге; пр-т Энгельса, 154А, ТРК «Гранд-Каньон» ;Гипермаркет О’КЕЙ «Гранд-Каньон»; 10:00 - 23:00 ;+7 (812) 332-50-50;О'КЕЙ;Гипермаркет
Санкт-Петербурге; ул. Прибрежная, 13 ;Супермаркет О’КЕЙ «Рыбацкое»; 8:00 - 24:00 ;+7 (812) 449-06-28;О'КЕЙ;Супермаркет
Санкт-Петербурге; Колпино, ул. Октябрьская, 8, ТК «Ока» ;Гипермаркет О’КЕЙ «Колпино»; 9:00 - 23:00 ;+7 (812) 336-65-53;О'КЕЙ;Гипермаркет
Санкт-Петербурге; Зеленогорск, ул. Вокзальная, 7, ТК «Курортный» ;Супермаркет О’КЕЙ «Зеленогорск Вокзальная»; 9:00 - 23:00 ;+7 (812) 449-31-43;О'КЕЙ;Супермаркет
Санкт-Петербурге; Богатырский пр-т, 13А ;Гипермаркет О’КЕЙ «Богатырский»; Круглосуточно ;+7 (812) 703-70-06;О'КЕЙ;Гипермаркет
Санкт-Петербурге; Заневский пр-т, 65/1 А ;Гипермаркет О’КЕЙ «Ладожская»; 8:00 - 24:00 ;+7 (812) 703-70-05;О'КЕЙ;Гипермаркет
Санкт-Петербурге; Выборгское ш., 19/1 ;Гипермаркет О'КЕЙ «Выборгское»; Круглосуточно ;+7 (812) 703-70-10;О'КЕЙ;Гипермаркет
Саратове; ул. Танкистов, 3, ТК «Форум» ;Супермаркет О’КЕЙ «Саратов Танкистов»; 9:00 - 23:00 ;+7 (8452) 66-93-56;О'КЕЙ;Супермаркет
Саратове; Вольский тракт, 2, ТРК «Хэппи Молл» ;Гипермаркет О’КЕЙ «Саратов Хэппи Молл»; 9:00 - 23:00 ;+7 (8452) 66-93-67;О'КЕЙ;Гипермаркет
Красноярске; Сибирский пер., 5А ;Гипермаркет О’КЕЙ «Красноярск Сибирский»; 9:00 - 23:00 ;+7 (391) 202-68-06;О'КЕЙ;Гипермаркет
Красноярске; ул. 9 Мая, 77, ТРЦ «Планета» ;Гипермаркет О’КЕЙ «Красноярск Планета» ; 9:00 - 23:00 ;+7 (391) 278-85-35;О'КЕЙ;Гипермаркет
Москва; Москва, Ходынский бульвар, д.4;Ашан; Пн-Чт, Вс с 8:30 до 22:00  Пт,Сб c 8:30 до 23:00;8 800 700 5 800;АШАН
Москва;" 141031 Московская область, Мытищинский район, МКАД 84 км, ТПЗ ""Алтуфьево"", владение 3, стр. 1";Ашан; Пн-Пт 8:30 - 23:00 Сб-Вс 7:30 - 23:00;8 800 700 5 800;АШАН
Москва; г. Москва, Бесединское шоссе, вл.15;Ашан; Ежедневно с 8:00 до 22:00;8 800 700 5 800;АШАН
Москва;"140053 Московская область, г. Котельники, 1-й Покровский проезд, д.5, торговый центр ""МЕГА""";Ашан; Пн-чт с 08:00 до 23:00Пт-Вс с 08:00 до 00:00;;АШАН
Москва; 142715 Московская обл., Ленинский р-н, пос. Совхоз Имени Ленина 24 км. МКАД, владение 1;Ашан; Пн, Вт, Ср, ВС 8:30 - 22:00  Чт, Пт, Сб  8:30 - 23:00;;АШАН
Москва;" 119334, ул. Вавилова, д.3, ТРЦ ""Гагаринский""";Ашан; ежедневно 8:30 - 23:00;8 800 700 5 800;АШАН
Москва;141551, Московская обл., Солнечногорский район, городское поселение Андреевка, р.п. Андреевка, ул. Жилинская, д. 1, стр. 1;Ашан;Ежедневно с 8:00-23:00;8 800 700 5 800;АШАН
Москва;142704 Москва, Калужское шоссе, 41-й км МКАД  (ТЦ «МЕГА»);Ашан;Пн-Пт 8:00 - 23:00 Сб-Вс и праздничные дни 7:30 - 23:00;8 800 700 5 800;АШАН
Москва;"143404 Московская область, Красногорский район, п/о ""Красногорск - 4"", 66 км МКАД";Ашан;Ежедневно 7:30 - 23:00 C 1 марта 2017г. Ежедневно с 7:00 до 24:00;8 800 700 5 800;АШАН
Москва;121552, ул.Ярцевская, дом 19, строение 1.  Торговый комплекс Кунцево Плаза;Ашан;Ежедневно с 8:30 до 23:00;8 800 700 5 800;АШАН
Москва;121025 Московская область, Одинцовский р-н,  дер. Марфино. влад.110, 53 км МКАД;Ашан;;8 800 700 5 800;АШАН
Москва;109341 г. Москва, ул. Люблинская, д.153, в 5 мин пешком от м. Братиславская;Ашан; Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН
Москва; г. Москва, Пролетарский проспект, 30;Ашан; ежедневно с 8:00 до 22:00;;АШАН
Москва;"121609 Рублевское шоссе, д.62, ТЦ ""Европарк""";Ашан;Пн-Чт: с 8:30 до 23:00 ;8 800 700 5 800;АШАН
Москва; 109052 г. Москва, Рязанский проспект, д.2, кор.2;Ашан; С 8:00 до 23:00;8 800 700 5 800;АШАН
Москва;г. Москва, Сигнальный проезд, д. 17 м. Владыкино;Ашан;Ежедневно с 8:30 до 22:00;8 800 700 5 800;АШАН
Москва;107140 ул. Верхняя Красносельская, д. 3А;Ашан;Ежедневно  с 8:00 до 23:00;8 800 700 5 800;АШАН
